"region","year","week","percent_unweighted_ili","ilitotal","num_of_providers","total_patients","total_specimens","total_a","total_b","percent_positive"
"Alabama",2015,40,2.58875,272,28,10507,167,2,3,2.99
"Alabama",2015,41,2.48819,258,28,10369,167,2,1,1.8
"Alabama",2015,42,2.31635,251,29,10836,193,4,1,2.59
"Alabama",2015,43,2.19702,279,26,12699,164,3,4,4.27
"Alabama",2015,44,2.31715,313,28,13508,254,2,3,1.97
"Alabama",2015,45,2.20919,290,30,13127,250,3,3,2.4
"Alabama",2015,46,2.64504,305,30,11531,279,4,1,1.79
"Alabama",2015,47,3.50323,255,26,7279,271,0,3,1.11
"Alabama",2015,48,2.45363,295,27,12023,321,5,4,2.8
"Alabama",2015,49,2.76306,339,26,12269,277,3,1,1.44
"Alabama",2015,50,3.1391,334,25,10640,250,3,6,3.6
"Alabama",2015,51,3.28583,249,26,7578,257,2,1,1.17
"Alabama",2015,52,2.88941,220,23,7614,287,2,3,1.74
"Alabama",2016,1,2.77095,293,22,10574,262,3,2,1.91
"Alabama",2016,2,2.79062,350,27,12542,272,5,3,2.94
"Alabama",2016,3,3.24173,394,28,12154,289,5,4,3.11
"Alabama",2016,4,3.15247,416,27,13196,267,3,2,1.87
"Alabama",2016,5,3.24061,332,24,10245,252,4,2,2.38
"Alabama",2016,6,3.12853,332,27,10612,255,3,6,3.53
"Alabama",2016,7,3.89068,484,27,12440,296,18,3,7.09
"Alabama",2016,8,4.39855,509,23,11572,353,29,1,8.5
"Alabama",2016,9,5.47097,521,24,9523,321,44,2,14.33
"Alabama",2016,10,6.55058,632,24,9648,408,70,1,17.4
"Alabama",2016,11,4.98188,440,23,8832,390,34,4,9.74
"Alabama",2016,12,5.03734,398,22,7901,389,54,1,14.14
"Alabama",2016,13,5.4502,388,22,7119,408,28,2,7.35
"Alabama",2016,14,4.41285,360,23,8158,270,19,1,7.41
"Alabama",2016,15,3.62936,311,22,8569,272,10,1,4.04
"Alabama",2016,16,3.92021,340,22,8673,200,6,0,3
"Alabama",2016,17,3.10614,247,22,7952,182,2,0,1.1
"Alabama",2016,18,2.54817,201,24,7888,177,9,1,5.65
"Alabama",2016,19,2.51917,161,22,6391,153,3,0,1.96
"Alabama",2016,20,2.69975,173,22,6408,124,0,1,0.81
"Alabama",2016,21,2.23771,122,22,5452,122,0,0,0
"Alabama",2016,22,1.92926,84,19,4354,95,0,0,0
"Alabama",2016,23,1.64923,93,21,5639,67,0,0,0
"Alabama",2016,24,1.18132,63,21,5333,70,2,0,2.86
"Alabama",2016,25,1.23199,59,19,4789,74,0,1,1.35
"Alabama",2016,26,1.09025,54,20,4953,48,0,1,2.08
"Alabama",2016,27,1.08565,45,19,4145,56,0,0,0
"Alabama",2016,28,0.77436,36,18,4649,34,0,0,0
"Alabama",2016,29,1.212,59,17,4868,42,1,0,2.38
"Alabama",2016,30,0.659184,37,20,5613,52,0,0,0
"Alabama",2016,31,0.991988,52,18,5242,53,0,0,0
"Alabama",2016,32,1.55411,81,20,5212,55,0,0,0
"Alabama",2016,33,1.39542,86,20,6163,61,0,0,0
"Alabama",2016,34,1.38221,92,20,6656,39,0,0,0
"Alabama",2016,35,1.3963,89,20,6374,51,0,0,0
"Alabama",2016,36,1.32311,69,19,5215,81,0,0,0
"Alabama",2016,37,1.76768,105,19,5940,83,1,0,1.2
"Alabama",2016,38,1.8797,120,19,6384,77,1,0,1.3
"Alabama",2016,39,1.51172,100,19,6615,100,1,0,1
"Alabama",2016,40,2.22398,169,23,7599,406,4,1,1.23
"Alabama",2016,41,1.6809,124,24,7377,530,6,7,2.45
"Alabama",2016,42,1.99635,153,24,7664,503,3,5,1.59
"Alabama",2016,43,2.40322,185,24,7698,464,5,1,1.29
"Alabama",2016,44,2.70133,213,25,7885,591,15,8,3.89
"Alabama",2016,45,2.46088,195,25,7924,625,5,1,0.96
"Alabama",2016,46,2.81762,222,21,7879,678,15,9,3.54
"Alabama",2016,47,2.62077,134,23,5113,650,14,8,3.38
"Alabama",2016,48,2.69573,209,25,7753,714,20,9,4.06
"Alabama",2016,49,2.65332,212,25,7990,723,20,7,3.73
"Alabama",2016,50,3.84472,310,26,8063,801,31,8,4.87
"Alabama",2016,51,4.96494,347,25,6989,970,44,13,5.88
"Alabama",2016,52,5.47445,345,25,6302,989,65,16,8.19
"Alabama",2017,1,4.38736,275,24,6268,919,52,12,6.96
"Alabama",2017,2,4.11625,330,24,8017,845,67,16,9.82
"Alabama",2017,3,6.10548,470,24,7698,735,77,17,12.79
"Alabama",2017,4,5.26563,449,25,8527,766,79,18,12.66
"Alabama",2017,5,6.47647,538,24,8307,1033,118,27,14.04
"Alabama",2017,6,7.76346,705,24,9081,1219,143,47,15.59
"Alabama",2017,7,7.56183,691,25,9138,1279,167,77,19.08
"Alabama",2017,8,7.42094,650,25,8759,1226,151,93,19.9
"Alabama",2017,9,6.29416,490,24,7785,973,104,72,18.09
"Alabama",2017,10,6.59379,567,25,8599,983,91,63,15.67
"Alabama",2017,11,5.96548,477,24,7996,964,84,60,14.94
"Alabama",2017,12,6.78633,586,25,8635,1056,74,105,16.95
"Alabama",2017,13,5.18245,365,22,7043,770,47,72,15.45
"Alabama",2017,14,3.28208,222,24,6764,632,27,57,13.29
"Alabama",2017,15,2.89855,210,23,7245,480,16,46,12.92
"Alabama",2017,16,2.77162,200,23,7216,449,14,33,10.47
"Alabama",2017,17,2.05347,149,21,7256,400,10,23,8.25
"Alabama",2017,18,2.29982,164,23,7131,335,2,17,5.67
"Alabama",2017,19,2.32988,164,20,7039,366,8,23,8.47
"Alabama",2017,20,2.50634,168,22,6703,283,9,17,9.19
"Alabama",2017,21,2.03091,113,20,5564,320,10,13,7.19
"Alabama",2017,22,1.29626,62,19,4783,241,6,11,7.05
"Alabama",2017,23,1.0559,51,16,4830,219,2,1,1.37
"Alabama",2017,24,0.830171,35,14,4216,156,3,1,2.56
"Alabama",2017,25,1.1051,47,15,4253,146,2,4,4.11
"Alabama",2017,26,0.877588,39,14,4444,144,2,2,2.78
"Alabama",2017,27,0.934016,31,14,3319,198,1,3,2.02
"Alabama",2017,28,0.955483,44,13,4605,167,0,4,2.4
"Alabama",2017,29,0.687916,30,12,4361,162,3,2,3.09
"Alabama",2017,30,0.625698,28,14,4475,124,0,2,1.61
"Alabama",2017,31,0.608918,31,15,5091,155,0,1,0.65
"Alabama",2017,32,0.802016,35,14,4364,163,2,2,2.45
"Alabama",2017,33,1.34966,54,12,4001,172,0,3,1.74
"Alabama",2017,34,1.716,80,13,4662,293,1,3,1.37
"Alabama",2017,35,1.54497,73,11,4725,311,3,4,2.25
"Alabama",2017,36,1.71125,87,16,5084,293,3,7,3.41
"Alabama",2017,37,1.74159,74,14,4249,338,3,5,2.37
"Alabama",2017,38,1.60263,83,17,5179,353,2,12,3.97
"Alabama",2017,39,1.73927,107,16,6152,399,1,12,3.26
"Alabama",2017,40,1.80637,698,81,38641,434,4,25,6.68
"Alabama",2017,41,1.88136,738,82,39227,449,7,24,6.9
"Alabama",2017,42,1.8734,710,81,37899,472,11,13,5.08
"Alabama",2017,43,2.12902,799,82,37529,476,9,18,5.67
"Alabama",2017,44,2.50345,979,83,39106,563,5,25,5.33
"Alabama",2017,45,2.43557,964,81,39580,573,9,23,5.58
"Alabama",2017,46,2.79799,1100,83,39314,671,11,31,6.26
"Alabama",2017,47,2.86595,967,81,33741,517,11,22,6.38
"Alabama",2017,48,3.03171,1239,81,40868,779,20,21,5.26
"Alabama",2017,49,3.67825,1274,83,34636,728,21,16,5.08
"Alabama",2017,50,4.79861,1737,82,36198,947,95,28,12.99
"Alabama",2017,51,7.92351,3116,81,39326,1435,292,39,23.07
"Alabama",2017,52,9.37001,3583,84,38239,1524,312,43,23.29
"Alabama",2018,1,9.66666,3738,83,38669,1636,388,50,26.77
"Alabama",2018,2,11.4042,4829,84,42344,2115,607,79,32.43
"Alabama",2018,3,13.5716,5145,84,37910,1981,525,95,31.3
"Alabama",2018,4,12.0872,5135,86,42483,1998,412,99,25.58
"Alabama",2018,5,12.6159,5278,84,41836,1923,353,111,24.13
"Alabama",2018,6,12.053,5100,85,42313,2017,306,179,24.05
"Alabama",2018,7,6.62759,2827,84,42655,1632,162,131,17.95
"Alabama",2018,8,5.78059,2172,86,37574,1103,61,79,12.69
"Alabama",2018,9,3.50826,1212,85,34547,828,34,46,9.66
"Alabama",2018,10,2.96734,1034,84,34846,675,10,22,4.74
"Alabama",2018,11,2.70054,945,84,34993,663,11,32,6.49
"Alabama",2018,12,2.42328,837,82,34540,515,10,26,6.99
"Alabama",2018,13,2.10502,738,81,35059,485,5,13,3.71
"Alabama",2018,14,1.85876,693,80,37283,457,7,11,3.94
"Alabama",2018,15,1.67309,634,81,37894,382,10,10,5.24
"Alabama",2018,16,1.59241,604,80,37930,361,1,7,2.22
"Alabama",2018,17,1.44857,532,77,36726,329,2,5,2.13
"Alabama",2018,18,1.35947,509,78,37441,302,2,6,2.65
"Alabama",2018,19,1.20346,448,74,37226,265,1,1,0.75
